,title,url,header,email,number,city,country,region,population
24,Acorns International School,https://aisa.or.ke/member-schools/acorns-international-school/,Ameena Lalani,mailto:info@ais.ac.ug,tel:(256) 312-202-665,Kampala,Uganda,East Africa,250
25,Aga Khan Academy – Mombasa,https://aisa.or.ke/member-schools/aga-khan-academy-mombasa/,Alison Hampshire,,tel:(254) 7486 185517,Mombasa,Kenya,East Africa,685
26,"Aga Khan School, Kampala",https://aisa.or.ke/member-schools/aga-khan-school-kampala/,Musaazi Magembe,mailto:admin@akesu.org,tel:+256 414308245/48,Kampala,Uganda,East Africa,747
27,Al-Rayan International School,https://aisa.or.ke/member-schools/al-rayan-international-school/,Fatma Odaymat,mailto:communication@aris.edu.gh,tel:(233) 246444666,Accra,Ghana,West Africa,642
28,Ambatovy International School,https://aisa.or.ke/member-schools/ambatovy-international-school/,Alba Carollo,mailto:Hos@ambatovyis.education,tel:(261) 333 765 220,Toamasina,Madagascar,Southern Africa,
29,Ambrosoli International School,https://aisa.or.ke/member-schools/ambrosoli-international-school/,Emma Norris,mailto:admissions@ambrosolischool.com,tel:(256) 0772707055,Kampala,Uganda,East Africa,260
30,American International School of Abuja,https://aisa.or.ke/member-schools/american-international-school-of-abuja/,Greg Hughes,mailto:admission@aisabuja.com,tel:(+234) 8186010814,Abuja,Nigeria,West Africa,470
31,American International School of Bamako,https://aisa.or.ke/member-schools/american-international-school-of-bamako/,Stacy Rosie,mailto:aisb@aisbmali.org,tel:(223) 20-22-47-38,Bamako,Mali,West Africa,153
32,American International School of Brazzaville,https://aisa.or.ke/member-schools/american-international-school-of-brazzaville/,Laura Viban,mailto:info@aisbrazza.org,tel:(242) 068-68-08-04,Brazzaville,Republic of the Congo,West Africa,96
33,American International School of Cape Town,https://aisa.or.ke/member-schools/american-international-school-of-cape-town/,Dr. Daniel Jubert,mailto:aisct@aisct.org,tel:(27) 21 713 2220,Cape Town,South Africa,Southern Africa,460
34,American International School of Conakry,https://aisa.or.ke/member-schools/american-international-school-of-conakry/,Mark Dempsey,mailto:office@aisconakry.org,tel:(224) 654 28 22 22,Conakry,Guinea,West Africa,104
35,American International School of Freetown,https://aisa.or.ke/member-schools/american-international-school-of-freetown/,Brian Roach,mailto:director@ais-freetown.net,tel:(232) 79-552-345,Freetown,Sierra Leone,West Africa,73
36,American International School of Ghana,https://aisa.or.ke/member-schools/american-international-school/,Tameica Jones,mailto:info@aisghana.org,tel:+233 289 547 951,"#1 Jungle Avenue, East Legon, Accra ",Ghana,West Africa,222
37,American International School of Johannesburg,https://aisa.or.ke/member-schools/american-international-school-of-johannesburg/,Jeremy Moore,mailto:info@aisj-jhb.com,tel:(27) 11-46-41-505,Johannesburg,South Africa,Southern Africa,1176
38,American International School of Lagos,https://aisa.or.ke/member-schools/american-international-school-of-lagos/,Tom Pado,mailto:information@aislagos.org,tel:(234) 11-77-64-535,Lagos,Nigeria,West Africa,736
39,American International School of Lesotho,https://aisa.or.ke/member-schools/american-international-school-of-lesotho/,Mark Brookes,mailto:director@aisl.co.ls,tel:(266) 22-32-29-87,Maseru,Lesotho,Southern Africa,102
40,American International School of Lusaka,https://aisa.or.ke/member-schools/american-international-school-of-lusaka/,Dr Oli Tooher-Hancock,mailto:info@aislusaka.org,tel:(260) 21-12-60-509,Lusaka,Zambia,East Africa,429
41,American International School of Monrovia,https://aisa.or.ke/member-schools/american-international-school-of-monrovia/,Dr. Bobbi McDaniel,mailto:administration@aismonrovia.org,tel:(231) 770-194-635,Monrovia,Liberia,West Africa,92
42,American International School of Mozambique,https://aisa.or.ke/member-schools/american-international-school-of-mozambique/,Russ Menard,mailto:aism.info@aism-moz.com,tel:(258) 24-49-19-94,Maputo,Mozambique,East Africa,475
43,American International School of Niamey,https://aisa.or.ke/member-schools/american-international-school-of-niamey/,Timothy Kruger,,tel:(227) 20-72-39-42,Niamey,Niger,West Africa,74
44,American International School of Nouakchott,https://aisa.or.ke/member-schools/american-international-school-of-nouakchott/,MaryAnn Przekurat,mailto:director@aisnmauritania.com,tel:(222) 45-25-29-67,Nouakchott,Mauritania,North Africa,85
45,American School of Antananarivo,https://aisa.or.ke/member-schools/american-school-of-antananarivo/,Richard Reilly,mailto:contact@asamadagascar.org,tel:+261 20 22 534 33,Antananarivo,Madagascar,East Africa,248
46,American School of Douala,https://aisa.or.ke/member-schools/american-school-of-douala/,Michael Breece,mailto:asd@asddouala.com,tel:(237) 677717083,Douala,Cameroon,West Africa,177
47,American School of Yaounde,https://aisa.or.ke/member-schools/american-school-of-yaounde/,Joergen Glittenberg,mailto:info@asoy.org,tel:(237) 677 76 02 01, Yaounde,Cameroon,West Africa,198
48,Banjul American Internatonal School,https://aisa.or.ke/member-schools/banjul-american-internatonal-school/,Myna Anderson,mailto:Admin@BAISGambia.org,tel:(220) 219 3800,Fajara,Gambia,West Africa,64
49,Bingham Academy,https://aisa.or.ke/member-schools/bingham-academy/,Kent Austell,mailto:office@binghamacademy.net,tel:(251) 11-27-91-791,Addis Ababa,Ethiopia,East Africa,320
50,Bishop Mackenzie International School,https://aisa.or.ke/member-schools/bishop-mackenzie-international-school/,Adrian Moody,mailto:info@bmis.mw,tel:(265) 17-56-364,Lilongwe,Malawi,East Africa,674
51,Braeburn Garden Estate International School,https://aisa.or.ke/member-schools/braeburn-garden-estate-international-school/,John Herbert,mailto:enquiries.garden@braeburn.ac.ke,tel:+254 (20) 501 8000,Nairobi,Kenya,East Africa,757
52,Braeburn International School Arusha,https://aisa.or.ke/member-schools/braeburn-international-school-arusha/,Alison Rogers,mailto:enquiries.arusha@braeburn.sc.tz,tel:+255 767123563,Arusha,Tanzania,East Africa,366
53,Braeburn Mombasa International School,https://aisa.or.ke/member-schools/braeburn-mombasa-estate-international-school/,Tom Craven,mailto:enquiries@braeburnmombasa.co.ke,tel:+254 (0) 20 2026156,Mombasa,Kenya,East Africa,180
54,Braeburn Schools – Nairobi,https://aisa.or.ke/member-schools/braeburn-schools-nairobi/,Warwick Charles Bailey,mailto:enquiries@braeburn.ac.ke,tel:+254 (020)50180000,Nairobi,Kenya,East Africa,968
55,Braeside School,https://aisa.or.ke/member-schools/braeside-school/,Wallen Nyamota,mailto:enquiries@braeside.ac.ke,tel:+254  722204307,Nairobi,Kenya,East Africa,1050
56,Brookhouse Schools,https://aisa.or.ke/member-schools/brookhouse-schools/,John O'Connor,mailto:admissions.karen@brookhouse.ac.ke,tel:(254) 20-24-30-260,Nairobi,Kenya,East Africa,800
57,Burundi American International Academy,https://aisa.or.ke/member-schools/burundi-american-international-academy/,Austin Briggs Jr,mailto:info@baiaexcellence.org,tel:+257 6758 3743 / 6801 7272,Bujumbura,Burundi,East Africa,133
58,Children’s International School,https://aisa.or.ke/member-schools/childrens-international-school/,Stuart King ,mailto:info@cislagos.org,tel:(234) 80-97-43-10-50,Lagos,Nigeria,West Africa,635
59,Corona Schools Trust Council,https://aisa.or.ke/member-schools/corona-schools-trust-council/,Adeyoyin Adesina,,tel:(234) 14-63-06-47,Lagos,Nigeria,West Africa,2549
60,Dar es Salaam International Academy,https://aisa.or.ke/member-schools/dar-es-salaam-international-academy/,Shaista Juma,mailto:info@diatz.cc,tel:(255) 222600202,Dar es Salaam,Tanzania,East Africa,192
61,Galaxy International School Uganda,https://aisa.or.ke/member-schools/galaxy-interntional-school/,Ramazan Bayar ,mailto:info@gisu.ac.ug,tel:+256 781 468000,Kampala,Uganda,East Africa,408
62,Geita Gold International School,https://aisa.or.ke/member-schools/geita-gold-international-school/,Basil Sadler,mailto:saida.manane@anglogoldashanti.com,tel:+255 282 160 100 ext 1709,Geita,Tanzania,East Africa,26
63,George Washington Academy,https://aisa.or.ke/member-schools/george-washington-academy/,Colin Webster,mailto:contact@gwa.ac.ma,tel:'(212) 0522953000,Casablanca,Morocco,North Africa,891
64,Ghana International School,https://aisa.or.ke/member-schools/ghana-international-school/,Dr. Mary Ashun,mailto:prinoffice@gis.edu.gh,tel:(233) 30-27-77-163,Accra,Ghana,West Africa,1324
65,Green Hills Academy,https://aisa.or.ke/member-schools/green-hills-academy/,Daniel Hollinger,mailto:info@greenhillsacademy.rw,,Kigali,Rwanda,East Africa,1595
66,Greensprings School Lagos,https://aisa.or.ke/member-schools/greensprings-school-lagos/,Lai Koiki,mailto:info.lekki@greenspringsschool.com,tel:(234) 18-54-14-72,Lagos,Nigeria,West Africa,2400
67,Harare International School,https://aisa.or.ke/member-schools/harare-international-school/,Richard Hawkins ,mailto:his@his.ac.zw,tel:(263) 48-70-514,Harare,Zimbabwe,East Africa,424
68,Haven of Peace Academy,https://aisa.or.ke/member-schools/haven-of-peace-academy/,Carley Mwenda,mailto:hopac@hopac.sc.tz,tel:(255) 78-684-5135,Dar es Salaam,Tanzania,East Africa,335
69,Ibadan International School,https://aisa.or.ke/member-schools/ibadan-international-school/,Motun Ige,mailto:mail@Ibadaninternationalschool.com,tel:(234) 7055583807,Ibadan,Nigeria,West Africa,400
70,International Community School of Abidjan,https://aisa.or.ke/member-schools/international-community-school-of-abidjan/,Seamus Hennessy,mailto:info@icsabidjan.org,tel:(225) 2722471152,Abidjan,Ivory Coast,West Africa,511
71,International Community School of Addis Ababa,https://aisa.or.ke/member-schools/international-community-school-of-addis-ababa/,Earl Chamberlin,mailto:info@icsaddis.org,tel:(251) 11-37-11-544,Addis Ababa,Ethiopia,East Africa,950
72,International Preparatory School (IPS),https://aisa.or.ke/member-schools/international-preparatory-school-ips/,Melanie Williams,mailto:headofschool@ips-mu.com,tel:(230) 26-61-973,Mapou,Mauritius,East Africa,400
73,International School of Ahafo,https://aisa.or.ke/member-schools/international-school-of-ahafo/,Meg Sutcliffe,mailto:meg.sutcliffe@isa.edu.gh,tel:(233) 20 859 8129,Kenyasi,Ghana,West Africa,89
74,International School of Dakar,https://aisa.or.ke/member-schools/international-school-of-dakar/,Sandy Mackenzie,mailto:communications@faculty.isd.sn,tel:(221) 33-825-0871,Dakar,Senegal,West Africa,744
75,International School of Gabon Ruban Vert,https://aisa.or.ke/member-schools/ecole-ruban-vert-international-school-of-gabon/,Marta Essinki,mailto:reception@ecolerubanvert.com,tel:'24104131390,Libreville,Gabon,West Africa,227
76,International School of Kenya,https://aisa.or.ke/member-schools/international-school-of-kenya/,Michael Callan ,mailto:communications@isk.ac.ke,tel:(254) 20-20-91-308/9,Nairobi,Kenya,East Africa,1091
77,International School of Kigali,https://aisa.or.ke/member-schools/international-school-of-kigali/,Lauren Jones & Derek Harwell,mailto:info@iskr.org,tel:(250) 789000754,Kigali,Rwanda,East Africa,220
78,International School of Lusaka,https://aisa.or.ke/member-schools/international-school-of-lusaka/,Liam Hammer,mailto:info@islzambia.org,tel:(260) 211-25-22-91,Lusaka,Zambia,East Africa,660
79,International School of Ouagadougou,https://aisa.or.ke/member-schools/international-school-of-ouagadougou/,Jef Trudeau,,tel:(226) 25-36-21-43,Ouagadougou,Burkina Faso,West Africa,208
80,International School of Tanganyika,https://aisa.or.ke/member-schools/international-school-of-tanganyika/,Melanie Vbra,mailto:enquiries@istafrica.com,tel:'255787245940,Dar es Salaam,Tanzania,East Africa,750
81,International School of Uganda,https://aisa.or.ke/member-schools/international-school-of-uganda/,Simon Gillespie,mailto:hos@isumail.ac.ug ,tel:(256) 41-42-00-374,Kampala,Uganda,East Africa,640
82,International School of Zanzibar,https://aisa.or.ke/member-schools/international-school-of-zanzibar/,Mark McCarthy ,mailto: info@isz.co.tz,tel:+255 777 477 053,Stonetown,Tanzania,East Africa,132
83,Iringa International School,https://aisa.or.ke/member-schools/iringa-international-school/,Upendo Mrikaria,mailto:iringainternational@iis.ac.tz,tel:(255) 26-27-02-018,Iringa,Tanzania,East Africa,88
84,Jewels International School of Kinshasa,https://aisa.or.ke/member-schools/jewels-international-school-of-kinshasa/,Naillah Munshi,mailto:info@jiskdrc.com,tel:+243817577836,Kinshasa,Democratic Republic of Congo,Southern Africa,2200
85,"Kelem International School (KIS), Addis Ababa",https://aisa.or.ke/member-schools/kelem-international-school-kis-addis-ababa/,Bereket Gezahegn,mailto:info@scsaddis.com,tel:+251 911 259 055, Addis Ababa,Ethiopia,East Africa,200
86,Khartoum American School,https://aisa.or.ke/member-schools/khartoum-american-school/,Bridget Davies,mailto:kas@krtams.org,tel:(249) 15-577-0105,Khartoum,Sudan,North Africa,196
87,Khartoum International Community School,https://aisa.or.ke/member-schools/khartoum-international-community-school/,Peter Round,mailto:info@kicsnet.org,tel:(249) 18-32-15-000,Khartoum,Sudan,North Africa,385
88,Kigali International Community School,https://aisa.or.ke/member-schools/kigali-international-community-school/,Benjamin Thomas,mailto:info@kicsrw.org,tel:+250 784741212,Kigali,Rwanda,East Africa,314
89,Le Bocage International School,https://aisa.or.ke/member-schools/le-bocage-international-school/,David Jenkins,mailto:lbis@lebocage.net,tel:+230 433 9900,Moka,Mauritius,East Africa,730
90,Lincoln Community School,https://aisa.or.ke/member-schools/lincoln-community-school-2/,Lesley Tait ,mailto:headofschool@lincoln.edu.gh,tel:(233) 302-21-81-00,Accra,Ghana,West Africa,530
91,Luanda international School,https://aisa.or.ke/member-schools/luanda-international-school/,Dylan Hughes,mailto:lis@lisluanda.com,tel:(244) 931 532 666,Luanda,Angola,West Africa,390
92,Lusaka International Community School,https://aisa.or.ke/member-schools/lusaka-international-community-school/,Thomas Gass,mailto:info@lics.sch.zm,tel:'260967989205,Lusaka,Zambia,East Africa,651
93,"Machabeng College, International School of Lesotho",https://aisa.or.ke/member-schools/machaberg-college-international-school-of-lesotho/,James Kamau,mailto:info@machcoll.co.ls,tel:(+266) 22313224,Maseru,Lesotho,Southern Africa,570
94,Rosslyn Academy,https://aisa.or.ke/member-schools/rosslyn-academy/,Jon Hill,mailto:info@rosslynacademy.com,tel:(254) 20-263-5294,Nairobi,Kenya,East Africa,677
95,Rusinga Schools,https://aisa.or.ke/member-schools/rusinga-schools/,Patricia Echessa-Kariuki,mailto:info@rusinga.ac.ke,tel:+254 709 554 000,"Lavington, Gitanga Road",Kenya,East Africa,849
96,Sos-Hermann Gmeiner International College,https://aisa.or.ke/member-schools/sos-hermann-gmeiner-international-college/,Eliz Dadson,mailto:secretary_to_princip@soshgic.edu.gh,tel:(233) 30-32-02-907,Tema,Ghana,West Africa,360
97,"St Andrew’s School, Turi",https://aisa.or.ke/member-schools/st-andrews-turi/,Ian Wright,mailto:officeprep@turimail.co.ke/director@turimail.co.ke,tel:+254(0)722209750,Molo,Kenya,East Africa,594
98,St. Constantine’s International School,https://aisa.or.ke/member-schools/st-constantines-international-school/,Yasir Patel,mailto:info@scis.sc.tz,tel:+255 765 018 026,Arusha,Tanzania,East Africa,573
99,"The Aga Khan Academy, Nairobi",https://aisa.or.ke/member-schools/aga-khan-academy/,Waseema Khawaja,mailto:infos@akesk.org,tel:(254) 736380101,Nairobi,Kenya,East Africa,1026
100,The American School of Kinshasa,https://aisa.or.ke/member-schools/international-school-of-kinshasa/,Dr. Daniel Mullen,mailto:director@tasok.net,tel:(243) 81-884-6619,Kinshasa,Democratic Republic of Congo,West Africa,310
101,UWC East Africa,https://aisa.or.ke/member-schools/uwc-east-africa/,Anna Marsden,mailto:school@uwcea.org,tel:(255) 27-27-55-004,Moshi and Arusha,Tanzania,East Africa,550
102,Westwood International School,https://aisa.or.ke/member-schools/westwood-international-school/,Robert Jones,mailto:westwood@westwood@ac.bw,tel:(267) 39-06-736,Gaborone,Botswana,Southern Africa,553
103,Windhoek International School,https://aisa.or.ke/member-schools/windhoek-international-school/,Ethan Van Drunen,mailto:reception@wis.edu.na,tel:(264) 61 241-783,Windhoek,Namibia,Southern Africa,436
104,Woodland Star International School,https://aisa.or.ke/member-schools/woodland-star-international-school/,Timo Lehmann,mailto: hello@woodlandstarkenya.com ; admin@woodlandstarkenya.com,tel:+254792452227 ; +254715741041,Nairobi,Kenya,East Africa,110
